 ,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
227,Fuerte Olimpo,PY,81.14,overcast clouds,-21.0415,-57.8738,Hospedaje DAMI
233,Carnarvon,AU,68.5,clear sky,-24.8667,113.6333,Hospitality Carnarvon
235,Hambantota,LK,79.14,overcast clouds,6.1241,81.1185,Bungalow 63
241,Tianpeng,CN,69.73,broken clouds,30.9866,103.9393,Shuangliu Love Home Business Hotel
242,Banda Aceh,ID,79.74,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
244,Erzin,TR,71.91,few clouds,36.9559,36.2,Artemis Otel
247,Gushikawa,JP,69.03,drizzle,26.3544,127.8686,Kirari Guest House
248,Jardim,BR,73.44,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
253,Vao,NC,71.58,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
256,Ampanihy,MG,75.96,clear sky,-24.7,44.75,HOTEL SHARRON AMPANIHY OUEST
259,Port Elizabeth,ZA,76.1,clear sky,-33.918,25.5701,39 On Nile Guest House
265,Hobyo,SO,78.93,light rain,5.3505,48.5268,Halane Hotel and Restaurent
268,Hirara,JP,72.86,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
271,Manavalakurichi,IN,75.33,overcast clouds,8.1333,77.3,Jebinrio home
273,Najran,SA,83.05,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
275,Saverne,FR,73.53,broken clouds,48.8333,7.25,Hôtel Aux deux Clefs
276,Namikupa,TZ,80.96,scattered clouds,-10.8333,39.6,
279,Long,TH,72.39,scattered clouds,18.0761,99.8326,Nopphakoe Homestay
281,Butaritari,KI,81.34,light rain,3.0707,172.7902,Isles Sunset Lodge
282,Chateaubelair,VC,84.72,scattered clouds,13.2833,-61.25,Richmond Vale Diving & Hiking Center
285,Kiunga,PG,71.33,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
289,Tiarei,PF,75.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
290,Plettenberg Bay,ZA,66.74,scattered clouds,-34.0527,23.3716,Thanda Vista B&B
292,Thinadhoo,MV,80.92,overcast clouds,0.5333,72.9333,
293,San Vicente,AR,67.06,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
294,Kupang,ID,79.52,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
296,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
299,Faanui,PF,77.13,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
300,Caravelas,BR,78.91,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
301,Namatanai,PG,79.72,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
302,Venado Tuerto,AR,66.76,broken clouds,-33.7456,-61.9688,La Bianca.
303,Nishihara,JP,69.08,drizzle,26.1842,127.7558,Minshuku Agaihama
304,Awjilah,LY,75.54,broken clouds,29.1081,21.2869,المنزل
306,Lompoc,US,66.78,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
307,Viedma,AR,71.69,broken clouds,-40.8135,-62.9967,Hotel Cristal
309,Kabalo,CD,78.17,light rain,-6.05,26.9167,
312,Clarence Town,AU,65.86,light rain,-32.5833,151.7833,River Downs Cottage
